0,23,01.02.23,#42134,Пижо
1,2341,02.02.23,#32342,Таёта
3,12341,15.05.2021,#43424,Камаз
4,12341,15.05.2021,#43424,Камаз
5,423,21.11.2023,#4321,УАЗ
6,231,11.02.2023,#4241,Нисан
7,12341,15.05.2021,#43424,Камаз
8,423,21.11.2023,#4321,УАЗ
9,231,11.02.2023,#4241,Нисан
10,12341,15.05.2021,#43424,Камаз
11,423,21.11.2023,#4321,УАЗ
12,231,11.02.2023,#4241,Нисан
13,12341,15.05.2021,#43424,Камаз
14,423,21.11.2023,#4321,УАЗ
15,231,11.02.2023,#4241,Нисан
16,12341,15.05.2021,#43424,Камаз
17,423,21.11.2023,#4321,УАЗ
18,231,11.02.2023,#4241,Нисан
19,12341,15.05.2021,#43424,Камаз
20,423,21.11.2023,#4321,УАЗ
21,231,11.02.2023,#4241,Нисан
22,12341,15.05.2021,#43424,Камаз
23,423,21.11.2023,#4321,УАЗ
24,231,11.02.2023,#4241,Нисан
25,12341,15.05.2021,#43424,Камаз
26,423,21.11.2023,#4321,УАЗ
27,231,11.02.2023,#4241,Нисан
28,12341,15.05.2021,#43424,Камаз
29,423,21.11.2023,#4321,УАЗ
30,231,11.02.2023,#4241,Нисан
31,12341,15.05.2021,#43424,Камаз
32,423,21.11.2023,#4321,УАЗ
33,231,11.02.2023,#4241,Нисан
34,12341,15.05.2021,#43424,Камаз
35,423,21.11.2023,#4321,УАЗ
36,231,11.02.2023,#4241,Нисан
37,12341,15.05.2021,#43424,Камаз
38,423,21.11.2023,#4321,УАЗ
39,231,11.02.2023,#4241,Нисан
40,12341,15.05.2021,#43424,Камаз
41,423,21.11.2023,#4321,УАЗ
42,231,11.02.2023,#4241,Нисан
43,12341,15.05.2021,#43424,Камаз
44,423,21.11.2023,#4321,УАЗ
45,231,11.02.2023,#4241,Нисан
